msn,config_set_id,serial_block,mod_state,effective_date,notes
ACFT-Q100-001,CFG-BASELINE-Q100,BLK-2026A,MOD-BASE,2026-02-01,"First production aircraft - baseline configuration"
ACFT-Q100-002,CFG-BASELINE-Q100,BLK-2026A,MOD-BASE,2026-02-15,"Factory incorporation - baseline"
ACFT-Q100-003,CFG-PAX-Q100,BLK-2026A,MOD-BASE,2026-03-01,"Customer A - dual class configuration"
ACFT-Q100-004,CFG-BASELINE-Q100,BLK-2026A,MOD-BASE,2026-03-15,"Factory incorporation - baseline"
ACFT-Q100-005,CFG-PAX-Q100,BLK-2026A,MOD-M1,2026-04-01,"Customer B - dual class with avionics upgrade"
ACFT-Q100-006,CFG-BASELINE-Q100,BLK-2026A,MOD-BASE,2026-04-15,"Factory incorporation - baseline"
ACFT-Q100-007,CFG-PAX-Q100,BLK-2026B,MOD-BASE,2026-07-01,"Customer C - second production block"
ACFT-Q100-008,CFG-BASELINE-Q100,BLK-2026B,MOD-BASE,2026-07-15,"Factory incorporation - block B"
ACFT-Q100-009,CFG-PAX-Q100,BLK-2026B,MOD-M1,2026-08-01,"Customer D - block B with MOD-M1"
ACFT-Q100-010,CFG-BASELINE-Q100,BLK-2026B,MOD-BASE,2026-08-15,"Factory incorporation - block B"
ACFT-Q100-011,CFG-BASELINE-Q100,BLK-2026B,MOD-BASE,2026-09-01,"Certification test aircraft"
ACFT-Q100-012,CFG-PAX-Q100,BLK-2026B,MOD-BASE,2026-09-15,"Customer E - dual class"
