Supplier_ID,Supplier_Name,Address,Contact_Person,Phone,Email,Products_Services,Critical_Status,AS9100_Cert,AS9100_Expiry,ISO9001_Cert,Nadcap_Cert,Nadcap_Processes,Nadcap_Expiry,Approval_Date,Restrictions,Status,Notes
SUP-001,Acme Aerospace Components,"123 Industrial Blvd, Seattle, WA 98101",John Supplier,+1-206-555-0100,john@acmeaero.com,Machined aluminum components,Critical,Yes,2026-03-15,Yes,No,N/A,N/A,2024-06-15,None,Active,AS9100 certified - excellent performance
SUP-002,Precision Fasteners Inc,"456 Manufacturing St, Los Angeles, CA 90001",Mary Bolt,+1-310-555-0200,mary@precisionfasteners.com,Aerospace fasteners and hardware,Non-Critical,No,N/A,Yes,No,N/A,N/A,2024-08-20,None,Active,ISO 9001 certified - standard hardware supplier
SUP-003,ThermalTech Services,"789 Heat Treat Ln, Dallas, TX 75201",Bob HeatTreat,+1-214-555-0300,bob@thermaltech.com,Heat treatment services,Critical,Yes,2025-11-30,Yes,Yes,"Heat Treating",2025-09-30,2024-05-10,None,Active,Nadcap accredited - preferred heat treat supplier
SUP-004,ElectroPlate Systems,"321 Plating Ave, Chicago, IL 60601",Alice Plate,+1-312-555-0400,alice@electroplate.com,Anodizing and plating services,Critical,Yes,2026-01-20,Yes,Yes,"Chemical Processing",2025-12-15,2024-07-22,None,Active,Nadcap accredited - chemical processing
SUP-005,CompositeWorks LLC,"654 Fiber Dr, Portland, OR 97201",Charlie Composite,+1-503-555-0500,charlie@compositeworks.com,Carbon fiber components,Critical,Yes,2025-08-10,Yes,No,N/A,N/A,2024-09-05,Enhanced inspection required,Active,AS9100 certified - new supplier under enhanced oversight
SUP-006,WeldPro Manufacturing,"987 Welding Way, Houston, TX 77001",Diana Welder,+1-713-555-0600,diana@weldpro.com,Welded assemblies,Critical,Yes,2026-05-25,Yes,Yes,"Welding",2026-03-30,2024-04-18,None,Active,Nadcap welding - AWS D17.1 qualified
SUP-007,NDT Inspection Services,"147 Testing Blvd, Phoenix, AZ 85001",Edward Inspector,+1-602-555-0700,edward@ndtinspect.com,Non-destructive testing,Critical,Yes,2025-10-15,Yes,Yes,"NDT (RT, UT, PT, MT)",2025-08-20,2024-03-12,None,Active,Nadcap NDT - NAS-410 Level III on staff
SUP-008,Global Electronics Supply,"258 Circuit St, San Jose, CA 95101",Fiona Electronics,+1-408-555-0800,fiona@globalelec.com,Electronic components and PCBs,Critical,Yes,2026-06-30,Yes,No,N/A,N/A,2024-10-05,ESD control verified,Active,AS9100 certified - ESD program compliant
SUP-009,SealTech Gaskets,"369 Seal Rd, Atlanta, GA 30301",George Seal,+1-404-555-0900,george@sealtech.com,Gaskets and seals,Non-Critical,No,N/A,Yes,No,N/A,N/A,2024-11-15,None,Active,ISO 9001 certified - standard seals
SUP-010,AeroCoatings Pro,"741 Paint Ln, Denver, CO 80201",Helen Painter,+1-303-555-1000,helen@aerocoatings.com,Protective coatings and painting,Critical,Yes,2025-12-20,Yes,Yes,"Coatings",2025-10-25,2024-06-28,None,Active,Nadcap coatings - MIL-SPEC qualified
SUP-011,LaserCut Precision,"852 Laser Dr, Boston, MA 02101",Ian Laser,+1-617-555-1100,ian@lasercut.com,Laser cut sheet metal parts,Non-Critical,No,N/A,Yes,No,N/A,N/A,2024-07-10,None,Active,ISO 9001 - good delivery performance
SUP-012,CastingsUSA,"963 Foundry St, Detroit, MI 48201",Julia Foundry,+1-313-555-1200,julia@castingsusa.com,Investment castings,Critical,Yes,2026-02-28,Yes,No,N/A,N/A,2024-05-22,PPAP required,Active,AS9100 certified - titanium castings
SUP-013,TestEquip Solutions,"147 Instrument Blvd, Austin, TX 78701",Kevin Test,+1-512-555-1300,kevin@testequip.com,Test and measurement equipment,Non-Critical,No,N/A,Yes,No,N/A,N/A,2024-09-18,None,Active,ISO 9001 - calibration equipment supplier
SUP-014,MicroMachine Parts,"258 Precision Ave, San Diego, CA 92101",Laura Micro,+1-619-555-1400,laura@micromachine.com,Precision machined micro components,Critical,Yes,2025-09-15,Yes,No,N/A,N/A,2024-08-08,FAI required for all parts,Active,AS9100 - tight tolerance machining
SUP-015,SpaceGrade Materials,"369 Aerospace Dr, Orlando, FL 32801",Michael Space,+1-407-555-1500,michael@spacegrade.com,ECSS-compliant materials and components,Critical,Yes,2026-04-10,Yes,No,N/A,N/A,2024-10-20,Material certs required,Active,AS9100 certified - spacecraft materials specialist
